,Title,Author,Gender of Author,Sources,Male Sources,Female Sources,url
0,"Approval of Trump's coronavirus response underwater, as he returns to campaign trail: POLL",['kendall karson'],['male'],"['Anthony Fauci', 'Donald Trump']",2,0,https://abcnews.go.com/Politics/approval-trumps-coronavirus-response-underwater-returns-campaign-trail/story?id=71351241
1,UN says Afghan health workers facing deliberate attacks,['rahim'],['male'],"['Fiona Frazer', 'Deborah Lyons', 'Zabihullah Mujahid']",1,2,https://abcnews.go.com/US/wireStory/afghan-healthcare-personnel-deliberately-attacked-71370211
2,"Drug check in Germany sparks attacks on police, vandalism",[],[],['Fritz Kuhn'],1,0,https://abcnews.go.com/International/wireStory/drug-check-germany-sparks-attacks-police-vandalism-71370420
3,Pakistani military: 2 soldiers killed in militant attack,[],[],[],0,0,https://abcnews.go.com/International/wireStory/pakistani-military-soldiers-killed-militant-attack-71370454
4,Slovenia police find 22 migrants hidden in tanker trucks,[],[],[],0,0,https://abcnews.go.com/International/wireStory/slovenia-police-find-22-migrants-hidden-tanker-trucks-71370555
5,Temperature hits 100 F degrees in Arctic Russian town,[],[],[],0,0,https://abcnews.go.com/International/wireStory/temperature-hits-100-degrees-arctic-russian-town-71370623
6,Hummingbirds' vision hints at compound colors outside normal spectrum,['charles q. choi'],['male'],['Mary Caswell Stoddard'],0,1,https://abcnews.go.com/Technology/hummingbirds-vision-hints-compound-colors-normal-spectrum/story?id=71353218
7,Rise in coronavirus cases brings new concerns in Alabama,['kim chandler'],['female'],"['William Boyd', 'Merika Coleman', 'Scott Harris', 'Kyra Porter', 'Selwyn Vickers', 'Don Williamson']",4,2,https://abcnews.go.com/Health/wireStory/rise-coronavirus-cases-brings-concerns-alabama-71371511
8,"A 'second wave' of coronavirus cases? Not yet, experts say",['mike stobbe'],['male'],"['Richard Besser', 'Anthony Fauci', 'Arnold Monto', 'Caitlin Rivers']",3,1,https://abcnews.go.com/Health/wireStory/wave-coronavirus-cases-experts-71371852
9,Dutch police arrest 400 after virus protest turns violent,[],[],"['Johan Remkes', 'Wouter Thijs']",2,0,https://abcnews.go.com/International/wireStory/dutch-police-break-virus-protest-hague-71371746
10,Long-dreaded virus increase hits Iraq as new cases soar,['qassim abdul-zahra'],['male'],"['Saif al-Badr', 'Mouhamed Bander', ""Dua'a al-Jarjees""]",2,1,https://abcnews.go.com/International/wireStory/long-dreaded-virus-increase-hits-iraq-cases-soar-71372105
11,Court denies request for arrest of Armenia opposition leader,[],[],[],0,0,https://abcnews.go.com/International/wireStory/court-denies-request-arrest-armenia-opposition-leader-71372038
12,Black Catholics: Words not enough as church decries racism,['david'],['male'],"['Ansel Augustine', 'John Judie', 'Ralph McCloud', 'Mario Powell', 'Shannen Dee Williams']",4,1,https://abcnews.go.com/US/wireStory/black-catholics-words-church-decries-racism-71371478
13,"Dad, brother's deaths leave family bereft on Father's Day",['felicia fonseca'],['female'],"['Faye', 'Matthew', 'Dayson Merrill', 'Savvas Savvas']",3,1,https://abcnews.go.com/US/wireStory/dad-brothers-deaths-leave-family-bereft-fathers-day-71372172
14,Minority officers allege discrimination over Chauvin booking,[],[],"['Steve Lydon', 'Bonnie Smith']",1,1,https://abcnews.go.com/US/wireStory/minority-officers-allege-discrimination-chauvin-booking-71372242
15,"Tennessee lawmakers adjourn without addressing race, reform",[],[],"['Jeremy Faison', 'London Lamar', 'Harold Love']",3,0,https://abcnews.go.com/US/wireStory/tennessee-lawmakers-adjourn-addressing-race-reform-71372381
16,"Veteran AP video, photo-journalist in Congo dies of COVID-19",['krista larson'],['female'],"['John Bompengo', 'John Bompengo', 'Jerome Delay', 'Andrew Drake', 'John Bompengo', 'John Bompengo']",6,0,https://abcnews.go.com/International/wireStory/longtime-ap-video-journalist-congo-dies-covid-19-71372384
17,Report: Pussy Riot member held in Russia extremism probe,[],[],[],0,0,https://abcnews.go.com/International/wireStory/report-pussy-riot-member-held-russia-extremism-probe-71372243
18,Production workers to strike against major Navy shipbuilder,['david'],['male'],"['Dirk Lesko', 'Jay Wadleigh']",2,0,https://abcnews.go.com/US/wireStory/production-workers-strike-major-navy-shipbuilder-71372661
19,"Remains identified as soldier stationed at Fort Hood, Texas",[],[],[],0,0,https://abcnews.go.com/US/wireStory/skeletal-remains-missing-texas-soldier-oklahoma-71372695
20,Chairman of Israel's Yad Vashem to step down after 27 years,[],[],['Avner Shalev'],1,0,https://abcnews.go.com/International/wireStory/chairman-israels-yad-vashem-step-27-years-71372882
21,No arrests in shooting in Seattle protest zone that killed 1,[],[],"['Detective Mark Jamieson', 'Kshama Sawant', 'Mike Solan']",2,1,https://abcnews.go.com/US/wireStory/arrests-shooting-seattle-protest-zone-killed-71373265
22,NYC virus tracing off to a bumpy start: report,[],[],"['Bill de Blasio', 'Andrew Cuomo', 'Ted Long']",3,0,https://abcnews.go.com/Health/wireStory/nyc-virus-tracing-off-bumpy-start-report-71372627
23,Hundreds test positive at Tyson Foods plant in Arkansas,[],[],[],0,0,https://abcnews.go.com/Health/wireStory/hundreds-test-positive-tyson-foods-plant-arkansas-71373131
24,Italy mulls new WHO guidelines on virus patient isolation,['nicole'],['female'],['Roberto Speranza'],1,0,https://abcnews.go.com/Health/wireStory/italy-mulls-guidelines-virus-patient-isolation-71373365
25,Minority jail officers were barred from guarding ex-cop charged with George Floyd's murder: Complaint,['bill hutchinson'],['male'],"['Bob Fletcher', 'Steve Lydon', 'Roy Magnuson', 'Bonnie Smith']",3,1,https://abcnews.go.com/US/minority-jail-officers-barred-guarding-cop-charged-george/story?id=71370624
26,White House odd couple: Trump and Bolton's tumultuous relationship,['ben gittleson'],['male'],['John Bolton'],1,0,https://abcnews.go.com/Politics/white-house-odd-couple-trump-boltons-tumultuous-relationship/story?id=71323127
27,Strained supply chain for glass vials could delay coronavirus vaccine,['elissa nunez'],['female'],"['Phyllis Arthur', 'Rick Bright', 'Erin Fox', 'Alexander Hardy', 'John Mascola']",3,2,https://abcnews.go.com/Health/strained-supply-chain-glass-vials-delay-coronavirus-vaccine/story?id=71349287
28,Student asked to change her name to make it sound English says she hopes experience can empower people,['jon haworth'],['male'],"['Tammeil Gilkerson', 'Matthew Hubbard', 'Nguyen']",2,0,https://abcnews.go.com/US/college-professor-demands-student-change-make-sound-english/story?id=71370111
29,"While Confederate statues come down, other symbols targeted",[],[],"['Bill de Blasio', 'Roy Cooper']",2,0,https://abcnews.go.com/US/wireStory/confederate-statues-symbols-targeted-71374104
30,Tennessee newspaper investigating 'horrific' end of times ad,[],[],"['Michael A. Anastasi', 'Terry Heaton']",2,0,https://abcnews.go.com/US/wireStory/tennessee-newspaper-investigating-horrific-end-times-ad-71374251
31,Iran sends shipment of food to Venezuela in latest delivery,['scott smith'],['male'],['Russ Dallen'],1,0,https://abcnews.go.com/International/wireStory/iran-sends-shipment-food-venezuela-latest-delivery-71373829
32,Hungary's main online news site says independence in danger,[],[],[],0,0,https://abcnews.go.com/International/wireStory/hungarys-main-online-news-site-independence-danger-71374170
33,"Dimitrov positive for COVID-19, exhibition event canceled",[],[],"['Grigor Dimitrov', 'Novak Djokovic']",2,0,https://abcnews.go.com/Sports/wireStory/dimitrov-positive-covid-19-exhibition-event-canceled-71373614
34,Mexico catches alleged gang boss relatives; gang burns cars,[],[],[],0,0,https://abcnews.go.com/International/wireStory/mexico-catches-alleged-gang-boss-relatives-gang-burns-71374865
35,AP Interview: Egypt wants UN to avert unilateral fill of dam,"['lee keath', 'samy magdy']","['male', 'male']","['William Davison', 'Sameh Shukry', 'Sameh Shukry']",3,0,https://abcnews.go.com/International/wireStory/ap-interview-egypt-stop-ethiopia-dam-fill-71374965
36,"Because of the virus, dads mark Father's Day from a distance",[],[],"['Kelly Cooper', 'David Cooper', 'Jason Reyes', 'Frank Wolff']",3,1,https://abcnews.go.com/Health/wireStory/virus-dads-mark-fathers-day-distance-71374967
37,2 lawmakers want state probe of shooting death by LA deputy,[],[],['Kent Wegener'],1,0,https://abcnews.go.com/US/wireStory/lawmakers-state-probe-shooting-death-la-deputy-71375375
38,"Bolton says he hopes Trump is 1-term president, warns country imperiled by his reelection",['conor finnegan'],['male'],"['Bolton', 'Recep Tayyip Erdogan', 'Mike Pompeo']",3,0,https://abcnews.go.com/Politics/bolton-hopes-trump-term-president-warns-country-imperiled/story?id=71320449
39,Insider Q&A: Honeywell CEO gears company for pandemic shifts,"[""matt o'brien""]",['male'],[],0,0,https://abcnews.go.com/Business/wireStory/insider-qa-honeywell-ceo-gears-company-pandemic-shifts-71371443
40,"Hit hard by virus, fine dining finds new ways to serve",['dee-ann'],['female'],"['Dominique Crenn', 'Atelier Crenn', 'Nick Kokonas', 'David Mitroff']",4,0,https://abcnews.go.com/Business/wireStory/hit-hard-virus-fine-dining-finds-ways-serve-71371745
41,Watchdogs: Treasury too secretive on small business loans,"[""anne d'innocenzio""]",['female'],"['John Arensmeyer', 'Danielle Brian', 'Steven Mnuchin', 'Marco Rubio']",3,1,https://abcnews.go.com/Business/wireStory/watchdogs-treasury-secretive-small-business-loans-71372175
42,The Latest: New Zealand reports 2 new coronavirus cases,[],[],"['Anthony Fauci', 'Pope Francis', 'Lance Frye', 'Matt Hancock', 'Tahera Khandaker', 'Peter Navarro', 'Benjamin Netanyahu', 'Trump', 'Chad Wolf', 'Wolf']",9,1,https://abcnews.go.com/Business/wireStory/latest-israeli-pm-urges-action-avoid-lockdowns-71371546
43,"Did TikTok teens, K-Pop fans punk Trump's comeback rally?",['barbara'],['female'],"['Andrew Bates', 'Andy Little', 'Steve Schmidt', 'Donald Trump', 'Trump']",5,0,https://abcnews.go.com/Business/wireStory/tiktok-teens-pop-fans-punk-trumps-comeback-rally-71374173
44,WHO reports largest single-day increase in coronavirus cases,"['joseph wilson', 'jamey keaten']","['male', 'male']","['Pedro Delgado', 'Peter Navarro', 'Pedro Sánchez', 'Trump']",4,0,https://abcnews.go.com/Business/wireStory/spain-opens-border-tourists-trump-testing-71370003
