,Title,Author,Gender of Author,Sources,# of Male Sources,# of Female Sources
0,"Approval of Trump's coronavirus response underwater, as he returns to campaign trail: POLL",['kendall karson'],['male'],"['Anthony Fauci', 'Donald Trump']",2,0
1,UN says Afghan health workers facing deliberate attacks,['rahim'],['male'],"['Fiona Frazer', 'Deborah Lyons', 'Zabihullah Mujahid']",1,2
2,"Drug check in Germany sparks attacks on police, vandalism",[],[],['Fritz Kuhn'],1,0
3,Pakistani military: 2 soldiers killed in militant attack,[],[],[],0,0
4,Slovenia police find 22 migrants hidden in tanker trucks,[],[],[],0,0
5,Temperature hits 100 F degrees in Arctic Russian town,[],[],[],0,0
6,Hummingbirds' vision hints at compound colors outside normal spectrum,['charles q. choi'],['male'],['Mary Caswell Stoddard'],0,1
7,Rise in coronavirus cases brings new concerns in Alabama,['kim chandler'],['female'],"['William Boyd', 'Merika Coleman', 'Scott Harris', 'Kyra Porter', 'Selwyn Vickers', 'Don Williamson']",4,2
8,"A 'second wave' of coronavirus cases? Not yet, experts say",['mike stobbe'],['male'],"['Richard Besser', 'Anthony Fauci', 'Arnold Monto', 'Caitlin Rivers']",3,1
9,Dutch police arrest 400 after virus protest turns violent,[],[],"['Johan Remkes', 'Wouter Thijs']",2,0
10,Long-dreaded virus increase hits Iraq as new cases soar,['qassim abdul-zahra'],['male'],"['Saif al-Badr', 'Mouhamed Bander', ""Dua'a al-Jarjees""]",2,1
11,Court denies request for arrest of Armenia opposition leader,[],[],[],0,0
12,Black Catholics: Words not enough as church decries racism,['david'],['male'],"['Ansel Augustine', 'John Judie', 'Ralph McCloud', 'Mario Powell', 'Shannen Dee Williams']",4,1
13,"Dad, brother's deaths leave family bereft on Father's Day",['felicia fonseca'],['female'],"['Faye', 'Matthew', 'Dayson Merrill', 'Savvas Savvas']",3,1
14,Minority officers allege discrimination over Chauvin booking,[],[],"['Steve Lydon', 'Bonnie Smith']",1,1
15,"Tennessee lawmakers adjourn without addressing race, reform",[],[],"['Jeremy Faison', 'London Lamar', 'Harold Love']",3,0
16,"Veteran AP video, photo-journalist in Congo dies of COVID-19",['krista larson'],['female'],"['John Bompengo', 'John Bompengo', 'Jerome Delay', 'Andrew Drake', 'John Bompengo', 'John Bompengo']",6,0
17,Report: Pussy Riot member held in Russia extremism probe,[],[],[],0,0
